City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Lahan,NP,2022-07-20 18:09:59,26.7296,86.4951,79.99,82,100,5.26,light rain
1,Yeppoon,AU,2022-07-20 18:06:55,-23.1333,150.7333,60.58,87,100,16.2,light rain
2,Esperance,AU,2022-07-20 18:05:35,-33.8667,121.9,60.62,54,100,19.06,overcast clouds
3,Sfantu Gheorghe,RO,2022-07-20 18:10:00,45.8667,25.7833,70.27,49,26,4.61,scattered clouds
4,Albany,US,2022-07-20 18:02:19,42.6001,-73.9662,94.59,47,6,1.99,clear sky
5,Kahului,US,2022-07-20 18:09:42,20.8947,-156.47,78.82,65,20,14.97,few clouds
6,Yellowknife,CA,2022-07-20 18:06:14,62.456,-114.3525,61.32,63,75,16.11,light intensity shower rain
7,Albanel,CA,2022-07-20 18:08:39,48.8832,-72.4487,76.5,42,44,2.73,scattered clouds
8,Bluff,NZ,2022-07-20 18:05:50,-46.6,168.3333,38.8,63,92,8.41,overcast clouds
9,Kapaa,US,2022-07-20 18:06:06,22.0752,-159.319,79.12,86,40,13.8,light rain
10,Ahuimanu,US,2022-07-20 18:08:48,21.4447,-157.8378,82.11,69,20,14.97,few clouds
11,Namibe,AO,2022-07-20 18:06:14,-15.1961,12.1522,62.91,83,8,7.36,clear sky
12,Flinders,AU,2022-07-20 18:07:14,-34.5833,150.8552,51.19,93,99,5.99,overcast clouds
13,Kjopsvik,NO,2022-07-20 18:10:01,68.097,16.3742,62.47,73,100,4.34,overcast clouds
14,Busselton,AU,2022-07-20 18:04:07,-33.65,115.3333,60.93,92,100,17.58,light rain
15,Ordubad,AZ,2022-07-20 18:10:01,38.9059,46.0234,77.41,55,1,11.54,clear sky
16,Kaitangata,NZ,2022-07-20 18:08:15,-46.2817,169.8464,41.41,81,90,5.7,overcast clouds
17,Fortuna,US,2022-07-20 18:05:52,40.5982,-124.1573,60.66,80,46,6.73,scattered clouds
18,Airai,TL,2022-07-20 18:06:11,-8.9266,125.4092,57.4,95,73,3.02,broken clouds
19,Kapenguria,KE,2022-07-20 18:10:02,1.2511,35.0895,56.44,87,68,2.59,light rain
20,Rikitea,PF,2022-07-20 18:05:37,-23.1203,-134.9692,73.18,76,3,0.65,clear sky
21,Celendin,PE,2022-07-20 18:10:03,-6.8703,-78.1517,68.52,43,22,3.47,few clouds
22,Kavieng,PG,2022-07-20 18:06:14,-2.5744,150.7967,81.68,78,100,12.15,light rain
23,Sayyan,YE,2022-07-20 18:09:42,15.1718,44.3244,61.32,66,98,6.22,overcast clouds
24,Hilo,US,2022-07-20 18:04:55,19.7297,-155.09,78.28,95,75,8.05,moderate rain
25,Victoria,HK,2022-07-20 18:06:04,22.2855,114.1577,87.19,85,24,4.0,few clouds
26,Nikolskoye,RU,2022-07-20 18:06:13,59.7035,30.7861,73.87,57,96,11.52,overcast clouds
27,Ushuaia,AR,2022-07-20 18:01:35,-54.8,-68.3,33.46,93,100,24.16,light snow
28,Port Alfred,ZA,2022-07-20 18:06:08,-33.5906,26.891,56.17,96,99,1.99,overcast clouds
29,Narsaq,GL,2022-07-20 18:05:51,60.9167,-46.05,57.42,84,98,1.39,overcast clouds
30,Barrow,US,2022-07-20 18:05:44,71.2906,-156.7887,50.02,71,0,4.61,clear sky
31,Cherskiy,RU,2022-07-20 18:05:56,68.75,161.3,36.91,86,78,12.62,broken clouds
32,Severo-Yeniseyskiy,RU,2022-07-20 18:10:07,60.3725,93.0408,48.24,97,75,4.88,broken clouds
33,Sao Filipe,CV,2022-07-20 18:06:47,14.8961,-24.4956,77.31,85,80,2.42,broken clouds
34,Puerto Ayora,EC,2022-07-20 18:06:06,-0.7393,-90.3518,76.96,93,96,11.01,overcast clouds
35,Iralaya,HN,2022-07-20 18:10:08,15.0,-83.2333,82.72,76,67,9.82,broken clouds
36,Salalah,OM,2022-07-20 18:05:55,17.0151,54.0924,77.09,94,75,5.75,broken clouds
37,East London,ZA,2022-07-20 18:06:00,-33.0153,27.9116,62.71,80,83,7.09,light rain
38,Punta Arenas,CL,2022-07-20 18:05:41,-53.15,-70.9167,35.71,64,75,24.16,broken clouds
39,Lebu,CL,2022-07-20 18:05:51,-37.6167,-73.65,53.22,96,100,11.21,overcast clouds
40,Hithadhoo,MV,2022-07-20 18:05:58,-0.6,73.0833,80.46,72,100,4.97,light rain
41,Egvekinot,RU,2022-07-20 18:10:09,66.3167,-179.1667,34.0,69,14,13.13,few clouds
42,Severo-Kurilsk,RU,2022-07-20 18:05:51,50.6789,156.125,51.19,98,96,12.93,light rain
43,Toktogul,KG,2022-07-20 18:10:09,41.8708,72.9402,76.46,33,0,3.89,clear sky
44,Atuona,PF,2022-07-20 18:05:43,-9.8,-139.0333,77.65,74,43,15.41,scattered clouds
45,Roald,NO,2022-07-20 18:10:12,62.5833,6.1333,60.91,94,75,4.61,broken clouds
46,Bredasdorp,ZA,2022-07-20 18:05:36,-34.5322,20.0403,49.01,82,66,4.07,broken clouds
47,New Norfolk,AU,2022-07-20 18:05:45,-42.7826,147.0587,34.72,88,3,2.39,clear sky
48,Gushi,CN,2022-07-20 18:10:13,34.6425,109.5843,72.46,67,0,1.92,clear sky
49,Tautira,PF,2022-07-20 18:07:34,-17.7333,-149.15,76.3,74,0,12.91,light rain
50,Nanortalik,GL,2022-07-20 18:07:43,60.1432,-45.2371,52.92,79,71,14.5,broken clouds
51,San Antonio,US,2022-07-20 18:08:00,29.4241,-98.4936,100.51,48,0,5.75,clear sky
52,Danielskuil,ZA,2022-07-20 18:10:13,-28.1887,23.5395,54.73,44,20,6.26,few clouds
53,Praia Da Vitoria,PT,2022-07-20 18:05:05,38.7333,-27.0667,76.75,83,13,0.31,few clouds
54,Torbay,CA,2022-07-20 18:07:26,47.6666,-52.7314,71.28,76,47,19.17,scattered clouds
55,Shchors,UA,2022-07-20 18:10:14,51.8186,31.945,59.38,71,17,11.05,few clouds
56,Russell,US,2022-07-20 18:06:09,32.3502,-85.1999,92.37,59,67,4.54,broken clouds
57,Vaini,TO,2022-07-20 18:05:39,-21.2,-175.2,74.46,78,58,18.37,broken clouds
